customerID,tenure,MonthlyCharges,Contract,TechSupport,OnlineSecurity,Churn_Probability,Risk_Level,Recommended_Action
7590-VHVEG,1,29.85,Month-to-month,No,No,0.28,Low Risk,📧 Send re-engagement email
5575-GNVDE,34,56.95,One year,No,Yes,0.0,,✅ Monitor
7795-CFOCW,45,42.3,One year,Yes,Yes,0.0,,✅ Monitor
1452-KIOVK,22,89.1,Month-to-month,No,No,0.45,Medium Risk,🎯 Assign dedicated support agent
6713-OKOMC,10,29.75,Month-to-month,No,Yes,0.1,Low Risk,✅ Monitor
6388-TABGU,62,56.15,One year,No,Yes,0.02,Low Risk,✅ Monitor
9763-GRSKD,13,49.95,Month-to-month,No,Yes,0.02,Low Risk,💰 Offer annual plan discount
7469-LKBCI,16,18.95,Two year,No internet service,No internet service,0.0,,✅ Monitor
8091-TTVAX,58,100.35,One year,No,No,0.11,Low Risk,🎯 Assign dedicated support agent
5129-JLPIS,25,105.5,Month-to-month,Yes,Yes,0.51,Medium Risk,💰 Offer annual plan discount
3655-SNQYZ,69,113.25,Two year,Yes,Yes,0.01,Low Risk,✅ Monitor
8191-XWSZG,52,20.65,One year,No internet service,No internet service,0.02,Low Risk,✅ Monitor
9959-WOFKT,71,106.7,Two year,No,Yes,0.04,Low Risk,🎯 Assign dedicated support agent
4183-MYFRB,21,90.05,Month-to-month,No,No,0.19,Low Risk,🎯 Assign dedicated support agent
1680-VDCWW,12,19.8,One year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
3638-WEABW,58,59.9,Two year,Yes,No,0.0,,🔒 Offer OnlineSecurity add-on
6322-HRPFA,49,59.6,Month-to-month,Yes,Yes,0.08,Low Risk,💰 Offer annual plan discount
6865-JZNKO,30,55.3,Month-to-month,No,Yes,0.04,Low Risk,💰 Offer annual plan discount
5248-YGIJN,72,90.25,Two year,Yes,Yes,0.0,,✅ Monitor
3841-NFECX,71,96.35,Two year,Yes,Yes,0.01,Low Risk,✅ Monitor
4929-XIHVW,2,95.5,Month-to-month,No,No,0.38,Medium Risk,📧 Send re-engagement email
6827-IEAUQ,27,66.15,One year,Yes,Yes,0.03,Low Risk,✅ Monitor
7310-EGVHZ,1,20.2,Month-to-month,No internet service,No internet service,0.15060226377021216,Low Risk,📧 Send re-engagement email
3413-BMNZE,1,45.25,Month-to-month,No,No,0.19,Low Risk,📧 Send re-engagement email
6234-RAAPL,72,99.9,Two year,Yes,Yes,0.0,,✅ Monitor
6572-ADKRS,46,74.8,Month-to-month,No,No,0.11,Low Risk,🔒 Offer OnlineSecurity add-on
8865-TNMNX,10,49.55,One year,No,No,0.04,Low Risk,🔒 Offer OnlineSecurity add-on
9489-DEDVP,70,69.2,Two year,No,Yes,0.0,,✅ Monitor
9867-JCZSP,17,20.75,One year,No internet service,No internet service,0.0,,✅ Monitor
4671-VJLCL,63,79.85,Two year,Yes,Yes,0.0,,✅ Monitor
4080-IIARD,13,76.2,Month-to-month,Yes,Yes,0.11,Low Risk,💰 Offer annual plan discount
3714-NTNFO,49,84.5,Month-to-month,No,No,0.2,Low Risk,🎯 Assign dedicated support agent
5948-UJZLF,2,49.25,Month-to-month,No,No,0.2,Low Risk,📧 Send re-engagement email
7639-LIAYI,52,79.75,Two year,Yes,Yes,0.0,,✅ Monitor
2954-PIBKO,69,64.15,Two year,Yes,Yes,0.03,Low Risk,✅ Monitor
8012-SOUDQ,43,90.25,Month-to-month,No,No,0.11,Low Risk,🎯 Assign dedicated support agent
6575-SUVOI,25,69.5,Month-to-month,Yes,Yes,0.05,Low Risk,💰 Offer annual plan discount
4667-QONEA,60,74.85,One year,Yes,Yes,0.0,,✅ Monitor
8769-KKTPH,63,99.65,One year,No,Yes,0.06,Low Risk,🎯 Assign dedicated support agent
5067-XJQFU,66,108.45,One year,Yes,No,0.07,Low Risk,🔒 Offer OnlineSecurity add-on
3957-SQXML,34,24.95,Two year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
5954-BDFSG,72,107.5,Two year,Yes,No,0.09,Low Risk,🔒 Offer OnlineSecurity add-on
0434-CSFON,47,100.5,Month-to-month,No,No,0.16,Low Risk,🎯 Assign dedicated support agent
1215-FIGMP,60,89.9,Month-to-month,No,No,0.14,Low Risk,🎯 Assign dedicated support agent
0526-SXDJP,72,42.1,Two year,No,Yes,0.01,Low Risk,✅ Monitor
0557-ASKVU,18,54.4,One year,Yes,No,0.06,Low Risk,🔒 Offer OnlineSecurity add-on
5122-CYFXA,3,75.3,Month-to-month,Yes,No,0.21,Low Risk,📧 Send re-engagement email
8627-ZYGSZ,47,78.9,One year,No,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
3410-YOQBQ,31,79.2,Two year,Yes,No,0.0,,🔒 Offer OnlineSecurity add-on
3170-NMYVV,50,20.15,Two year,No internet service,No internet service,0.0,,✅ Monitor
7410-OIEDU,10,79.85,Month-to-month,No,Yes,0.06,Low Risk,✅ Monitor
2273-QCKXA,1,49.05,Month-to-month,Yes,No,0.15,Low Risk,📧 Send re-engagement email
0731-EBJQB,52,20.4,One year,No internet service,No internet service,0.0,,✅ Monitor
1891-QRQSA,64,111.6,Two year,Yes,Yes,0.13,Low Risk,✅ Monitor
8028-PNXHQ,62,24.25,Two year,No internet service,No internet service,0.0,,✅ Monitor
5630-AHZIL,3,64.5,Month-to-month,Yes,Yes,0.22,Low Risk,📧 Send re-engagement email
2673-CXQEU,56,110.5,One year,No,Yes,0.19,Low Risk,🎯 Assign dedicated support agent
6416-JNVRK,46,55.65,One year,No,No,0.05,Low Risk,🔒 Offer OnlineSecurity add-on
5590-ZSKRV,8,54.65,Month-to-month,No,Yes,0.08,Low Risk,✅ Monitor
0191-ZHSKZ,30,74.75,Month-to-month,No,Yes,0.09,Low Risk,💰 Offer annual plan discount
3887-PBQAO,45,25.9,One year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
8108-UXRQN,11,50.55,Month-to-month,No,Yes,0.1,Low Risk,✅ Monitor
9919-YLNNG,42,103.8,Month-to-month,Yes,No,0.09,Low Risk,🔒 Offer OnlineSecurity add-on
0318-ZOPWS,49,20.15,Two year,No internet service,No internet service,0.0,,✅ Monitor
4445-ZJNMU,9,99.3,Month-to-month,No,No,0.88,High Risk,🎯 Assign dedicated support agent
4808-YNLEU,35,62.15,One year,No,Yes,0.01,Low Risk,✅ Monitor
1862-QRWPE,48,20.65,Two year,No internet service,No internet service,0.0,,✅ Monitor
2796-NNUFI,46,19.95,Two year,No internet service,No internet service,0.0,,✅ Monitor
3016-KSVCP,29,33.75,Month-to-month,No,No,0.11,Low Risk,🔒 Offer OnlineSecurity add-on
4767-HZZHQ,30,82.05,Month-to-month,No,No,0.09,Low Risk,🎯 Assign dedicated support agent
2424-WVHPL,1,74.7,Month-to-month,Yes,No,0.12,Low Risk,📧 Send re-engagement email
7233-PAHHL,66,84.0,Two year,Yes,Yes,0.04,Low Risk,✅ Monitor
6067-NGCEU,65,111.05,Month-to-month,No,Yes,0.04,Low Risk,🎯 Assign dedicated support agent
9848-JQJTX,72,100.9,Two year,No,No,0.01,Low Risk,🎯 Assign dedicated support agent
9803-FTJCG,71,66.85,One year,Yes,Yes,0.01,Low Risk,✅ Monitor
3212-KXOCR,52,21.0,Two year,No internet service,No internet service,0.0,,✅ Monitor
6380-ARCEH,1,20.2,Month-to-month,No internet service,No internet service,0.42492841693546646,Medium Risk,📧 Send re-engagement email
3679-XASPY,1,19.45,Month-to-month,No internet service,No internet service,0.5658167431217571,Medium Risk,📧 Send re-engagement email
7123-WQUHX,38,95.0,One year,Yes,No,0.03,Low Risk,🔒 Offer OnlineSecurity add-on
5386-THSLQ,66,45.55,One year,No,No,0.02,Low Risk,🔒 Offer OnlineSecurity add-on
6180-YBIQI,5,24.3,Month-to-month,No,No,0.19,Low Risk,🔒 Offer OnlineSecurity add-on
6728-DKUCO,72,104.15,One year,No,Yes,0.02,Low Risk,🎯 Assign dedicated support agent
9750-BOOHV,32,30.15,One year,No,Yes,0.02,Low Risk,✅ Monitor
8597-CWYHH,43,94.35,One year,No,No,0.09,Low Risk,🎯 Assign dedicated support agent
2848-YXSMW,72,19.4,Two year,No internet service,No internet service,0.0,,✅ Monitor
4549-ZDQYY,52,57.95,One year,Yes,Yes,0.02,Low Risk,✅ Monitor
5712-AHQNN,43,91.65,Month-to-month,No,No,0.12,Low Risk,🎯 Assign dedicated support agent
5256-SKJGO,64,54.6,Two year,Yes,No,0.04,Low Risk,🔒 Offer OnlineSecurity add-on
3071-VBYPO,3,89.85,Month-to-month,No,Yes,0.1,Low Risk,📧 Send re-engagement email
9560-BBZXK,36,31.05,Two year,No,Yes,0.04,Low Risk,✅ Monitor
8402-OOOHJ,41,20.65,Two year,No internet service,No internet service,0.0,,✅ Monitor
9445-ZUEQE,27,85.2,Month-to-month,Yes,No,0.12,Low Risk,🔒 Offer OnlineSecurity add-on
1091-SOZGA,56,99.8,One year,No,No,0.08,Low Risk,🎯 Assign dedicated support agent
2928-HLDBA,6,20.7,Month-to-month,No internet service,No internet service,0.03,Low Risk,✅ Monitor
6497-TILVL,7,50.7,Month-to-month,No,Yes,0.13,Low Risk,✅ Monitor
7219-TLZHO,4,20.85,Month-to-month,No internet service,No internet service,0.11,Low Risk,✅ Monitor
4622-YNKIJ,33,88.95,Two year,Yes,Yes,0.03,Low Risk,✅ Monitor
6734-PSBAW,72,23.55,Two year,No internet service,No internet service,0.01,Low Risk,✅ Monitor
3930-ZGWVE,1,19.75,Month-to-month,No internet service,No internet service,0.6947802751937925,High Risk,📧 Send re-engagement email
2639-UGMAZ,71,56.45,One year,No,Yes,0.05,Low Risk,✅ Monitor
2876-GZYZC,13,85.95,Month-to-month,No,No,0.35,Medium Risk,🎯 Assign dedicated support agent
8587-XYZSF,67,50.55,Two year,Yes,No,0.02,Low Risk,🔒 Offer OnlineSecurity add-on
7799-LGRDP,43,25.7,Two year,No internet service,No internet service,0.03,Low Risk,✅ Monitor
